react_id,kappmax_davidi_per_pp_per_s_ensemble_model,kappmax_davidi_per_pp_per_s_median_imputed,kappmax_KO_ALE_davidi_per_pp_per_s_ensemble_model,kappmax_KO_ALE_davidi_per_pp_per_s_median_imputed,kappmax_KO_ALE_per_pp_per_s_ensemble_model,kappmax_KO_ALE_per_pp_per_s_median_imputed,kcat_in_vitro_per_s_ensemble_model,kcat_in_vitro_per_s_median_imputed
2DGULRGy,3.87115739278684,6.2,7.94967517744325,4.2,2.44818228991087,3.2680205804032,10.8990807602233,16.616666665
2DGULRx,5.62093523198764,6.2,4.98740807075617,4.2,2.17843982206931,3.2680205804032,7.90971656342355,16.616666665
2DGULRy,3.87115739278684,6.2,7.94967517744325,4.2,2.44818228991087,3.2680205804032,10.8990807602233,16.616666665
2DOXG6PP,6.31875952707147,6.2,13.2447698987952,4.2,4.03847150607653,3.2680205804032,27.3538532294614,16.616666665
2HESR,6.37767711412234,6.2,10.0716945436083,4.2,3.91157270404635,3.2680205804032,12.8296612367567,16.616666665
2HPTCOAT,8.55664925449635,6.2,18.2921770402979,4.2,6.15379402186329,3.2680205804032,25.3630319879858,16.616666665
2MAHMP,5.22176041763254,6.2,7.5975929923852,4.2,3.4623652313771,3.2680205804032,32.8769138393621,16.616666665
3AMACHYD,7.79913400988398,6.2,41.6517242342344,4.2,33.1371736509112,3.2680205804032,21.1606898143725,16.616666665
3HAD100,3.14862463006806,6.2,4.39387451614104,4.2,2.40749402726052,3.2680205804032,8.99668330343413,16.616666665
3HAD120,3.14862463006806,6.2,4.39387451614104,4.2,2.40749402726052,3.2680205804032,8.99668330343413,16.616666665
3HAD121,3.14862463006806,6.2,4.39387451614104,4.2,2.40749402726052,3.2680205804032,8.99668330343413,16.616666665
3HAD140,3.31449018809958,6.2,4.7238623506414,4.2,2.74511327309038,3.2680205804032,8.88717200149606,16.616666665
3HAD141,3.14862463006806,6.2,4.39387451614104,4.2,2.40749402726052,3.2680205804032,8.99668330343413,16.616666665
3HAD160,3.31449018809958,6.2,4.7238623506414,4.2,2.74511327309038,3.2680205804032,8.88717200149606,16.616666665
3HAD161,3.14862463006806,6.2,4.39387451614104,4.2,2.40749402726052,3.2680205804032,8.99668330343413,16.616666665
3HAD180,3.14862463006806,6.2,4.39387451614104,4.2,2.40749402726052,3.2680205804032,8.99668330343413,16.616666665
